date,predicted_occupancy_rate,predicted_occupied_beds,lower_bound,upper_bound
2026-01-01,0.9129192985914157,230,0.8481060643404974,0.976341370366327
2026-01-02,0.8773043298932345,221,0.8117369660272988,0.9438552748069052
2026-01-03,0.8634534617137053,218,0.8002113483098852,0.9221675012993337
2026-01-04,0.8539128182429027,216,0.7903064035363172,0.919948646897732
2026-01-05,0.833380268720632,210,0.7683331934348903,0.8955009284427395
2026-01-06,0.8418717630001344,212,0.7762690823447176,0.8999553359108287
2026-01-07,0.8315713937419266,210,0.7698580382468941,0.8946438361304242
2026-01-08,0.8397977919398749,212,0.7754257677644041,0.8994415609956568
2026-01-09,0.8690700583709455,219,0.8083315793099909,0.9331121844732932
2026-01-10,0.8508091941841925,215,0.7885691033570861,0.9190591725811644
2026-01-11,0.8671769744287814,219,0.8015038058873979,0.9304790017131861
2026-01-12,0.8577803389509002,217,0.7937202190279522,0.9177971446101121
2026-01-13,0.861823340589797,218,0.7994039959753608,0.9238329421631749
2026-01-14,0.9099965941690098,230,0.8495316728532918,0.9722067985049058
2026-01-15,0.9218526064623164,233,0.8565267176309982,0.9890118323314198
2026-01-16,0.9446744245556258,239,0.8751392229411206,0.999999
2026-01-17,0.9238079906779756,233,0.8582927487415992,0.9867125511150402
2026-01-18,0.9231640169544301,233,0.8578006139445387,0.9870368312799598
2026-01-19,0.9201624833179121,232,0.855558647219547,0.9891592836208205
2026-01-20,0.9457498790513932,239,0.8771039605667066,0.999999
2026-01-21,0.9814129342845095,248,0.9172732159760512,0.999999
2026-01-22,0.9715288074154523,245,0.9038972026780964,0.999999
2026-01-23,0.9490830668412675,240,0.8834312889730587,0.999999
2026-01-24,0.931667451051487,235,0.8685311541121518,0.999999
2026-01-25,0.9086134789515823,229,0.8401942775725515,0.9784653415540984
2026-01-26,0.9325437043399365,235,0.8659322016587154,0.999999
2026-01-27,0.959501326521227,242,0.8925754117668486,0.999999
2026-01-28,0.978171699828859,247,0.9114128275238247,0.999999
2026-01-29,0.9599318100909516,242,0.8928141724520027,0.999999
2026-01-30,0.994944463014867,251,0.929416181639162,0.999999
2026-01-31,0.999999,252,0.9640241989260898,0.999999
2026-02-01,0.9967894627753575,252,0.9248888902195624,0.999999
2026-02-02,0.9588119574308578,242,0.8914546399546899,0.999999
2026-02-03,0.9183957806263691,232,0.8503006571195382,0.9937711343069934
2026-02-04,0.9395614321255373,237,0.8697768002370783,0.999999
2026-02-05,0.9788410314525892,247,0.9063492059731668,0.999999
2026-02-06,0.9865997605753671,249,0.9136229388585275,0.999999
2026-02-07,0.999999,252,0.9414621904713871,0.999999
2026-02-08,0.999999,252,0.9397950346012913,0.999999
2026-02-09,0.999999,252,0.9581881591660648,0.999999
2026-02-10,0.9815700846493491,248,0.9066749484439321,0.999999
2026-02-11,0.999999,252,0.9309973414183379,0.999999
2026-02-12,0.999999,252,0.9326049818647537,0.999999
2026-02-13,0.999999,252,0.982110849650917,0.999999
2026-02-14,0.999999,252,0.999999,0.999999
2026-02-15,0.999999,252,0.9378485022651666,0.999999
2026-02-16,0.999999,252,0.9317395231383783,0.999999
2026-02-17,0.9825347188111757,248,0.9048740673756746,0.999999
2026-02-18,0.996124831573642,252,0.9181581019569536,0.999999
2026-02-19,0.9969220252501088,252,0.9113103456973143,0.999999
2026-02-20,0.9441957517064227,238,0.8554990046464829,0.999999
2026-02-21,0.9736969605762601,246,0.8868079687995828,0.999999
2026-02-22,0.999999,252,0.9213442537609172,0.999999
2026-02-23,0.9766926513055505,247,0.8894689750335375,0.999999
2026-02-24,0.9518774445757314,240,0.8611655773642005,0.999999
2026-02-25,0.9813974102017677,248,0.8926783241417905,0.999999
2026-02-26,0.999999,252,0.9190306426371043,0.999999
2026-02-27,0.999999,252,0.9195798249090413,0.999999
2026-02-28,0.999999,252,0.9422571822264868,0.999999
2026-03-01,0.999999,252,0.9347122789984431,0.999999
2026-03-02,0.999999,252,0.9414349513097334,0.999999
2026-03-03,0.999999,252,0.9498389931452953,0.999999
2026-03-04,0.999999,252,0.9468950327003166,0.999999
2026-03-05,0.999999,252,0.9023286308544441,0.999999
2026-03-06,0.9917508091723537,250,0.8831859202611533,0.999999
2026-03-07,0.9930537493101748,251,0.883543938858948,0.999999
2026-03-08,0.9588213861283499,242,0.8538714501663368,0.999999
2026-03-09,0.9775693657159755,247,0.8653119704715527,0.999999
2026-03-10,0.990850865778325,250,0.8764739781915278,0.999999
2026-03-11,0.9756944689012732,246,0.8632893009936342,0.999999
2026-03-12,0.9727364247853212,246,0.8631566726101072,0.999999
2026-03-13,0.9911504037685135,250,0.8686888119782756,0.999999
2026-03-14,0.9972063406788981,252,0.8802904744338484,0.999999
2026-03-15,0.999999,252,0.8991882526508287,0.999999
2026-03-16,0.999999,252,0.9242061297539576,0.999999
2026-03-17,0.999999,252,0.9607128936778048,0.999999
2026-03-18,0.999999,252,0.9320785972631898,0.999999
2026-03-19,0.999999,252,0.9117695815146688,0.999999
2026-03-20,0.999999,252,0.9133573582152854,0.999999
2026-03-21,0.999999,252,0.9562286094214315,0.999999
2026-03-22,0.999999,252,0.9419441051865808,0.999999
2026-03-23,0.999999,252,0.958363386041626,0.999999
