date,predicted_occupancy_rate,predicted_occupied_beds,lower_bound,upper_bound,occupancy_rate,occupied_beds
2025-12-02,0.8695698149056077,220,0.8113952901579079,0.9266165618460113,0.9169960474308301,232.0
2025-12-03,0.8780067032450908,222,0.81577034491739,0.9336974470895949,0.849802371541502,215.0
2025-12-04,0.8788645733759619,222,0.8232998601856719,0.9355868298155395,0.8616600790513834,218.0
2025-12-05,0.8713167252443932,220,0.8103928660063835,0.9308896495048736,0.9407114624505929,238.0
2025-12-06,0.8368355528889467,211,0.779299370405339,0.8974154151989743,0.7865612648221344,199.0
2025-12-07,0.8419909605761665,213,0.7854356560348226,0.9000004299242776,0.8616600790513834,218.0
2025-12-08,0.8548881813977219,216,0.8013555584037224,0.9136380405474083,0.8142292490118577,206.0
2025-12-09,0.8255290126573652,208,0.7640543541145943,0.8858339022804477,0.9288537549407114,235.0
2025-12-10,0.8155303908824377,206,0.7546212218641656,0.8763738009083297,0.8616600790513834,218.0
2025-12-11,0.7842249000807541,198,0.7236609086833458,0.8482131368384629,0.8814229249011858,223.0
2025-12-12,0.7456612293868305,188,0.6915136717951529,0.8016292586955482,0.924901185770751,234.0
2025-12-13,0.7226615059952566,182,0.6640573294311536,0.7815107708116608,0.83399209486166,211.0
2025-12-14,0.7669249323708336,194,0.7087970897650395,0.8279815727859074,0.8616600790513834,218.0
2025-12-15,0.7842963650907615,198,0.7210140430453863,0.840670232724381,0.8616600790513834,218.0
2025-12-16,0.7895151355627604,199,0.7248599059363343,0.8489638553182354,0.932806324110672,236.0
2025-12-17,0.7911911000760702,200,0.7311679125492332,0.8487062315048877,0.932806324110672,236.0
2025-12-18,0.8648984510449155,218,0.8032777309390186,0.9231326068336354,0.924901185770751,234.0
2025-12-19,0.8476537483302589,214,0.7888992083429519,0.9066267863453312,0.8893280632411067,225.0
2025-12-20,0.8373470446061233,211,0.7740428614093646,0.8991827804164746,0.9011857707509882,228.0
2025-12-21,0.854693186839893,216,0.7870389718505758,0.9149817924761602,0.8735177865612648,221.0
2025-12-22,0.8497632674471403,214,0.7893140147672741,0.9125736567855885,0.9367588932806324,237.0
2025-12-23,0.8419955931770494,213,0.7818507483662444,0.9014057730593511,0.9130434782608695,231.0
2025-12-24,0.8454141608395677,213,0.7826511532963331,0.9037544033391103,0.9407114624505929,238.0
2025-12-25,0.8788313678411946,222,0.816121801760021,0.9443183902104645,0.9288537549407114,235.0
2025-12-26,0.8663976089786395,219,0.7979809857756412,0.9298828710827137,0.8260869565217391,209.0
2025-12-27,0.8165487983816313,206,0.7502892929968712,0.8759801983287503,0.8932806324110671,226.0
2025-12-28,0.8147831691029652,206,0.7490633674366094,0.8820171159714516,0.8221343873517787,208.0
2025-12-29,0.8551201416870821,216,0.7922456013266184,0.9165285563789833,0.8774703557312253,222.0
2025-12-30,0.8732506701606073,220,0.8081782695930826,0.936739657558927,0.9367588932806324,237.0
2025-12-31,0.8731825856870377,220,0.8078358936241262,0.9410209911522688,0.8853754940711462,224.0
2026-01-01,0.8714696337902689,220,0.8074454681277781,0.9360665665830898,,
2026-01-02,0.8571511741163261,216,0.7909508477372539,0.9239033685572953,,
2026-01-03,0.8431785863248954,213,0.7816825876459282,0.9146703993995448,,
2026-01-04,0.7923194223937441,200,0.7256589938513447,0.8582052812728478,,
2026-01-05,0.7894013524615465,199,0.7166970825041175,0.8589541760816478,,
2026-01-06,0.7693595258893546,194,0.704163392740914,0.8367830926890102,,
2026-01-07,0.7816713773463053,197,0.7165735929481932,0.8508286790756758,,
2026-01-08,0.7783241570390738,196,0.7092335680822908,0.8426736029500032,,
2026-01-09,0.8048988768059405,203,0.731168648269915,0.8723277056282882,,
2026-01-10,0.7852492626219358,198,0.7114872316342461,0.8550032186510919,,
2026-01-11,0.7860138476034627,198,0.7129094498558112,0.8556385839878231,,
2026-01-12,0.7679941623525971,194,0.6912377531904523,0.8407879621086113,,
2026-01-13,0.7565078218777114,191,0.6869913287987945,0.8258202963648461,,
2026-01-14,0.7962393798319547,201,0.7206774937218101,0.873249511742173,,
2026-01-15,0.819525893814001,207,0.7474502731311617,0.9027987331283224,,
2026-01-16,0.8264566900918607,209,0.7537863011389492,0.9014408201339231,,
2026-01-17,0.8174715410849177,206,0.741369550706545,0.8921315976362201,,
2026-01-18,0.8295565841153557,209,0.753259591285284,0.9030787238745197,,
2026-01-19,0.8524103190771604,215,0.7776219292044656,0.9286361014151093,,
2026-01-20,0.85678846164038,216,0.7808525407860789,0.936593247757028,,
2026-01-21,0.8558807605597529,216,0.7702784317695275,0.9357814762115163,,
2026-01-22,0.8298579913610507,209,0.7449444648662576,0.9194424427076686,,
2026-01-23,0.8484591259222172,214,0.7684053603827484,0.9291623514133834,,
2026-01-24,0.8334303065948425,210,0.7420882321850887,0.9185618485183045,,
2026-01-25,0.8191891232136332,207,0.739811341067351,0.9042095868665793,,
2026-01-26,0.8320454083040413,210,0.7461264613556842,0.9145540438858856,,
2026-01-27,0.8236558824485591,208,0.7390441536624482,0.9111518153625671,,
2026-01-28,0.8112120851345228,205,0.7208694186735854,0.899529973276833,,
2026-01-29,0.802728262818027,203,0.718988568031741,0.8872172474612635,,
2026-01-30,0.7989474083053061,202,0.7062228085546445,0.8866720882899928,,
2026-01-31,0.7674443518841032,194,0.6775661250549279,0.8645142921292324,,
2026-02-01,0.7916520291168906,200,0.6968494490468851,0.881467945465084,,
2026-02-02,0.8030857878567027,203,0.7088397959800607,0.8960070723427438,,
2026-02-03,0.8521626467410266,215,0.7564854770366519,0.9457450129734266,,
2026-02-04,0.8047081006635586,203,0.7090575446466243,0.9013896813598075,,
2026-02-05,0.77852072228746,196,0.6822630982813193,0.873149756417762,,
2026-02-06,0.7877444441841434,199,0.6882216154697225,0.8916694278668229,,
2026-02-07,0.7610712885854461,192,0.6556725542522349,0.8621675447532164,,
2026-02-08,0.7847122936415061,198,0.6859537377110169,0.8861315356667349,,
2026-02-09,0.7769525069833265,196,0.6713308800919697,0.8790280964509198,,
2026-02-10,0.7743884559306897,195,0.6717566393188864,0.8902940993644307,,
2026-02-11,0.7948346385064272,201,0.69124610535183,0.9046921801413818,,
